t u u_err g g_err r r_err i i_err z z_err Y Y_err
0.0 28.587851517249007 0.15969583127881584 26.73284298011994 0.06320816983886521 26.487758778870713 0.051780652080903065 26.29211815653851 0.043064071491917114 26.641150220835655 0.04412426505604131 27.20357733272515 0.07191059330630886
1.0101010101010102 28.44497670916344 0.15385292524361913 26.57414808038495 0.041886315785194465 26.320700531027818 0.039896299781055945 26.150783195036926 0.03249403140735505 26.508143772371106 0.03131680474868512 27.084062489387122 0.06530756983991626
2.0202020202020203 28.30415496736576 0.1512442883080786 26.417718305804467 0.02758516443945683 26.155034455460104 0.03393272798467994 26.01067813155731 0.02717775495103966 26.376641436833573 0.024468638116222928 26.96484204178125 0.060807601939970056
3.0303030303030303 28.174871213686384 0.15115246577624178 26.27407652110299 0.026286265971886873 26.00089845436203 0.03314528882054138 25.880429202650028 0.026713185601356677 26.255089135798677 0.024767704015895568 26.852504298360618 0.05767982975483143
4.040404040404041 28.068782670193638 0.1530627387277247 26.15615170715807 0.03722296913020082 25.87047650713522 0.0406273671756117 25.770419239032716 0.033523387607829275 26.15375589030364 0.032490752258305534 26.754757130113944 0.05789066816778935
5.050505050505051 27.985249238998097 0.1555747665760275 26.063232721181336 0.04832266632065586 25.76299176237066 0.04959457221384101 25.679992497495284 0.04141496734026556 26.07203447720954 0.04065281234412319 26.671024853915092 0.05993822823319954
6.0606060606060606 27.92103494126015 0.1570619784436877 25.991729140959755 0.05394218029545645 25.67493575813416 0.05452557145135178 25.60616650814388 0.04570150437526937 26.007023518591676 0.04493499408383999 26.59898930402908 0.06135752597455895
7.070707070707071 27.872926734845418 0.15664916157073033 25.93807596857922 0.05243929573340348 25.602823079788806 0.053356352328158226 25.54597849479831 0.04468506239124976 25.955841467793764 0.04386969163243425 26.536346174798098 0.06068921306911347
8.080808080808081 27.837730909910373 0.15454994416131138 25.898729631266082 0.043947166775703865 25.54318745588609 0.0458552844967443 25.496482055978834 0.038175339542382926 25.91562337925048 0.03742756110244443 26.480802443923256 0.05771205621091785
9.090909090909092 27.812269501174672 0.15210370284012872 25.870164000718646 0.03110664045606569 25.49257787058103 0.03370163908086672 25.454743860026408 0.02755514379200174 25.88351769263788 0.02732564324442688 26.430073805485822 0.05347700541216632
10.101010101010102 27.793382318616352 0.15145714310055658 25.84887265101257 0.025436176505530032 25.447561073137784 0.02396970680044269 25.417845761241267 0.0189823998215622 25.856688177836457 0.020672373616542877 26.381886558946455 0.05030859705475808
